Model,RMSE,R2
OLS Basic,410.9187852130859,0.8432579685389222
OLS GDP pc,641.3333082210073,0.617001453789857
OLS Quadratic,409.83038847262344,0.8441961414193198
FE Country,190.35187506643632,0.9666188167672686
FE Country + year,184.96218037714317,0.9684835156996155
