renewable_increase_pct,avg_CO2_reduction_pct,median_CO2_reduction_pct,total_CO2_reduction_Mt,countries
5,39.45664528479068,4.543373574349139,1591.3880066151269,161
10,78.91329056958142,9.086747148698317,3182.7760132302537,161
15,118.3699358543722,13.630120723047455,4774.16401984539,161
20,157.826581139163,18.173494297396633,6365.552026460509,161
