renewable_increase_pct,avg_probability,median_probability,pct_likely_reduce,avg_CO2_reduction
5,0.4358934699260056,0.31302410600089425,36.885245901639344,39.45664528479068
10,0.4264078788010537,0.29680098997629134,36.885245901639344,78.91329056958142
15,0.41710334535963667,0.28107461558907476,36.0655737704918,118.3699358543722
20,0.4079840588707831,0.2658664295872494,35.24590163934426,157.826581139163
